code;description;description_additional
8000/0;Neoplasia benigna;Tumor, benigno Tumor no clasificado, benigno
8000/1;Neoplasia de benignidad o malignidad incierta;Neoplasia, SAI Tumor, SAI Tumor no clasificado, incierto si es benigno o maligno Tumor no clasificado, malignidad limítrofe (borderline)
8000/3;Neoplasia maligna;Tumor, maligno, SAI Blastoma, SAI Cáncer Malignidad Tumor no clasificado, maligno
8000/6;Neoplasia metastásica;Émbolo tumoral Neoplasia, secundaria Tumor, metastásico Tumor, secundario
8000/9;Neoplasia maligna, localización primaria o metastásica incierta;Tumor no clasificado, maligno, incierto si es primario o metastásico
8001/0;Células tumorales benignas;
8001/1;Células tumorales de benignidad o malignidad incierta ;Células tumorales, SAI
8001/3;Células tumorales malignas;
8001/6;Células tumorales malignas, metástasis;
8002/3;Tumor maligno de células pequeñas;
8002/6;Tumor maligno de células pequeñas, metástasis;
8003/3;Tumor maligno de células gigantes;
8003/6;Tumor maligno de células gigantes, metástasis;
8004/3;Tumor maligno de células fusiformes;Tumor maligno, tipo células fusiformes
8004/6;Tumor maligno de células fusiformes, metástasis;
8005/0;Tumor de células claras, SAI;
8005/3;Tumor maligno, tipo células claras;
8005/6;Tumor maligno, tipo células claras, metástasis;
8010/0;Tumor epitelial benigno;
8010/2;Carcinoma in situ, SAI;Carcinoma intraepitelial, SAI
8010/3;Carcinoma, SAI;Tumor epitelial, maligno
8010/6;Carcinoma metastásico, SAI;Carcinoma secundario
8010/9;Carcinomatosis;
8011/0;Epitelioma benigno;
8011/3;Epitelioma maligno;Epitelioma, SAI
8011/6;Epitelioma maligno, metástasis;
8012/3;Carcinoma de células grandes, SAI;
8012/6;Carcinoma de células grandes, SAI, metástasis;
8013/3;Carcinoma neuroendocrino de células grandes;
8013/6;Carcinoma neuroendocrino de células grandes, metástasis;
8014/3;Carcinoma de células grandes con fenotipo rabdoide;
8014/6;Carcinoma de células grandes con fenotipo rabdoide, metástasis;
8015/3;Carcinoma de células vidriosas;
8015/6;Carcinoma de células vidriosas, metástasis;
8020/3;Carcinoma indiferenciado, SAI;
8020/6;Carcinoma indiferenciado, SAI, metástasis;
8021/3;Carcinoma de tipo anaplásico, SAI;
8021/6;Carcinoma de tipo anaplásico, SAI, metástasis;
8022/3;Carcinoma pleomorfo;
