code;description;description_additional
C00.0;Labio superior, parte externa;Borde rojo libre del labio superior Labio superior, SAI (excluye piel del labio superior, C44.0)
C00.1;Labio inferior, parte externa;Borde rojo libre del labio inferior Labio inferior, SAI (excluye piel del labio inferior, C44.0)
C00.2;Labio, parte externa, SAI;Borde rojo del labio, SAI
C00.3;Mucosa del labio superior;Cara interna del labio superior Frenillo del labio superior
C00.4;Mucosa del labio inferior;Cara interna del labio inferior Frenillo del labio inferior
C00.5;Mucosa del labio, SAI;Cara interna del labio, SAI Labio interno, SAI Frenillo labial, SAI Frenulum labii, SAI
C00.6;Comisura del labio;Comisura labial
C00.8;Lesión solapada, que comparte los límites de dos o más subcategorías del labio;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C00.9;Labio, SAI (excluye Piel del labio C44.0);(excluye piel del labio, C44.0)
C01.9;Base de la lengua, SAI;Cara dorsal de la base de la lengua Lengua posterior, SAI Raíz de la lengua Tercio posterior de la lengua
C02.0;Superficie dorsal de la lengua, SAI;Dos tercios anteriores de la lengua, cara dorsal Línea media de la lengua Superficie dorsal anterior de la lengua
C02.1;Borde de la lengua;Punta de la lengua
C02.2;Superficie ventral de la lengua, SAI;Dos tercios anteriores de la lengua, cara ventral Frenillo lingual Superficie ventral anterior de la lengua, SAI
C02.3;Dos tercios anteriores de la lengua, SAI;Lengua anterior, SAI
C02.4;Amígdala lingual;Tonsila lingual
C02.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la lengua;Zona de unión de la lengua (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C02.9;Lengua, SAI;Lingual, SAI
C03.0;Encía superior;Alvéolo superior Gingiva maxilar Gingiva superior Mucosa alveolar superior Mucosa del borde alveolar superior
C03.1;Encía inferior;Alvéolo inferior Gingiva inferior Gingiva maxilar Mucosa alveolar inferior Mucosa del borde alveolar inferior
C03.9;Encía, SAI;Alvéolo, SAI Gingiva, SAI Mucosa alveolar, SAI Mucosa del borde alveolar, SAI Alvéolo dentario Tejido periodontal
C04.0;Parte anterior del suelo de la boca;
C04.1;Parte lateral del suelo de la boca;
C04.8;Lesión solapada, que comparte los límites de dos o más subcategorías del suelo de la boca;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C04.9;Suelo de la boca, SAI;
C05.0;Paladar duro;
C05.1;Paladar blando, SAI (excluye Cara nasofaríngea del paladar blando C11.3);(excluye cara nasofaríngea del paladar blando C11.3)
C05.2;Uvula;
C05.8;Lesión solapada, que comparte los límites de dos o más subcategorías del paladar;Unión del paladar duro y del paladar blando (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C05.9;Paladar, SAI;Techo de la boca
C06.0;Mucosa de la mejilla;Mejilla interna Mucosa bucal
C06.1;Vestíbulo de la boca;Surco alveolar Surco bucal Surco labial
C06.2;Area retromolar;Triángulo retromolar Trígono retromolar
C06.8;Lesión solapada, que comparte los límites de dos o más subcategorías de otras partes y las no especificadas de la boca;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C06.9;Boca, SAI;"Cavidad bucal Cavidad oral Mucosa oral Glándulas salivales menores, SAI  (Nota: las neoplasias de las glándulas salivales menores deben ser codificadas de acuerdo con su localización anatómica;  si esa localización no es específica, codificar en C06.9)"
C07.9;Glándula parótida;Parótida, SAI Conducto de Stensen Conducto de la glándula parótida
C08.0;Glándula submandibular;Glándula submaxilar Conducto de Wharton Conducto de la glándula submaxilar
C08.1;Glándula sublingual;Conducto de la glándula sublingual
C08.8;Lesión solapada, que comparte los límites de dos o más subcategorías de las glándulas salivales  mayores;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C08.9;Glándula salival mayor, SAI;Glándula salival menor, SAI (excluye glándulas salivales menores, SAI, C06.9, ver nota bajo C08)
C09.0;Fosa amigdalina;
C09.1;Pilar amigdalino;Pilar de las fauces Pliegue glosopalatino
C09.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la amígdala;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C09.9;Amígdala, SAI (excluye Amígdala lingual C02.4 y Amígdala faríngea C11.1);(excluye amígdala lingual, C02.4, y amígdala parafaríngea, C11.1) Amígdala faucal Amígdala palatina
C10.0;Valécula epiglótica;
C10.1;Cara anterior de la epiglotis;
C10.2;Pared lateral de la orofaringe;Pared lateral de la mesofaringe
C10.3;Pared posterior de la orofaringe;Pared posterior de la mesofaringe
C10.4;Hendidura branquial (localización del tumor);(sitio de la neoplasia)
C10.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la orofaringe;Zona de unión de la orofaringe (Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.)
C10.9;Orofaringe, SAI;Fauces, SAI Mesofaringe, SAI
C11.0;Pared superior de la nasofaringe;Techo de la nasofaringe
C11.1;Pared posterior de la nasofaringe;Adenoide Amígdala faríngea
C11.2;Pared lateral de la nasofaringe;Fosa de Rosenmüller
C11.3;Pared anterior de la nasofaringe;Borde posterior del tabique nasal Cara nasofaríngea del paladar blando Coana Piso de la nasofaringe
C11.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la nasofaringe;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C11.9;Nasofaringe, SAI;Pared nasofaríngea
C12.9;Seno piriforme;Fosa piriforme Seno piriforme
C13.0;Región postcricoidea;Cricofaringe Cricoide, SAI
C13.1;Cara hipofaríngea del pliegue aritenoepiglótico;Pliegue aritenoepiglótico, SAI (excluye pliegue de la cara laríngea del pliegue aritenoepiglótico C32.1) Pliegue aritenoideo
C13.2;Pared posterior de la hipofaringe;
C13.8;Lesión solapada, que comparte los límites de dos o más subcategorías de la hipofaringe;Nota: en las categorías C00 al C80.9, las neoplasias deben ser clasificadas en la subcategoría que incluye el sitio de origen del tumor. Un tumor que sobrepase los límites de dos o más subcategorías y cuyo sitio de origen no se puede determinar, se debe clasificar en la subcategoría “.8”. Por ejemplo, una neoplasia del esófago cervicotorácico se debe codificar en C15.8.
C13.9;Hipofaringe, SAI;Laringofaringe Pared hipofaríngea, SAI
C14.0;Faringe, SAI;Garganta Pared faríngea, SAI Pared de la faringe, SAI Pared lateral de la faringe, SAI Pared posterior de la faringe, SAI Retrofaringe
C14.2;Anillo de Waldeyer;
